request_id,connection_ms,handshake_ms,resource_read_ms,tool_call_ms,total_time_ms,database_ms,operation_type
1,207.5790180824697,198.31105112098157,9163.975215982646,0,9696.317419875413,7223.887629341334,modelcard
2,209.96803021989763,198.24029807932675,9247.268824838102,0,9772.392055951059,7204.992939252406,modelcard
3,207.86963286809623,198.85854911990464,9095.412182155997,0,9626.415493898094,7182.678256183863,modelcard
4,207.3907251469791,198.75164795666933,9182.170900981873,0,9701.154383830726,7107.736504171044,modelcard
5,206.71008806675673,198.3822649344802,8995.434184093028,0,9518.525942927226,7071.430109906942,modelcard
6,207.38587621599436,199.36451804824173,9012.232085922733,0,9541.57071490772,7051.437495276332,modelcard
7,209.12394602783024,198.8925621844828,9057.638016995043,0,9582.5184029527,7063.157585915178,modelcard
8,207.89903798140585,199.09745594486594,9333.857784979045,0,9850.172672886401,7285.909640137106,modelcard
9,206.86637214384973,198.6969760619104,9146.291892044246,0,9678.97164891474,7145.867993589491,modelcard
10,207.30030490085483,198.96821398288012,9080.860542831942,0,9604.77220104076,7044.2659999243915,modelcard
11,207.70814013667405,199.09400097094476,9082.790393847972,0,9603.853126987815,7102.452370803803,modelcard
12,206.87378593720496,199.19381709769368,9125.453629996628,0,9640.14697400853,7098.021568264812,modelcard
13,206.69565116986632,198.68803909048438,9194.599706912413,0,9706.62945508957,7261.14856870845,modelcard
14,207.3912259656936,198.6869159154594,9808.325557038188,0,10324.970884015784,7724.012976977974,modelcard
15,208.29432015307248,200.80389897339046,9295.979596907273,0,9809.623701963574,7275.087746791542,modelcard
16,210.39511100389063,198.3161410316825,9436.602724948898,0,9949.673576978967,7118.020938243717,modelcard
17,206.74321986734867,198.88218306005,9226.333379978314,0,9740.118701010942,7210.872660856694,modelcard
18,207.68581796437502,198.60726688057184,9054.029628168792,0,9576.218954985961,7006.896384991705,modelcard
19,208.08855397626758,208.88048992492259,8915.360404876992,0,9444.148981943727,6937.040851917118,modelcard
20,208.0136730801314,198.49409512244165,9182.457990013063,0,9695.09777193889,7178.875858429819,modelcard
21,207.06504420377314,198.67190881632268,9038.648803951219,0,9554.229242028669,7050.523437093943,modelcard
22,207.67209283076227,198.49345413967967,8998.168272897601,0,9505.932719213888,6990.549536887556,modelcard
23,206.76816813647747,198.2617189642042,9415.85805802606,0,9930.905035929754,7418.052451685071,modelcard
24,206.6577998921275,197.74595205672085,9334.617601009086,0,9840.110426070169,7034.008520189673,modelcard
25,207.09168398752809,198.23273387737572,8968.767496058717,0,9483.269952936098,6980.823040008545,modelcard
26,207.36833312548697,198.64400592632592,9561.313211917877,0,10067.606838885695,7160.31781444326,modelcard
27,206.78470795974135,198.27836006879807,9108.97581698373,0,9624.490411952138,7098.844232968986,modelcard
28,207.18051097355783,198.4586480539292,9020.46735608019,0,9523.730696877465,7080.561651382595,modelcard
29,207.36688002943993,198.5774110071361,9017.220875015482,0,9524.7218569275,7112.747137900442,modelcard
30,207.00866798870265,199.12139209918678,9283.31804415211,0,9806.583940051496,7284.462369047105,modelcard
31,208.63982802256942,198.5572841949761,9059.101663064212,0,9564.831383060664,7119.029172696173,modelcard
32,206.71354397200048,198.76615493558347,8985.823202878237,0,9497.938860906288,6973.233186174184,modelcard
33,206.70827408321202,198.701644083485,8904.9888481386,0,9410.193492192775,6984.810806810856,modelcard
34,207.06268888898194,198.24863504618406,9299.208442913368,0,9809.495612047613,7011.852404102683,modelcard
35,206.2301179394126,199.81117616407573,9442.304691998288,0,9946.446572197601,7282.199316192418,modelcard
36,207.5371800456196,198.83029605261981,9433.760091895238,0,9944.85928514041,7144.061383325607,modelcard
37,207.26633118465543,199.18263610452414,9075.975237879902,0,9579.756550956517,7023.097475990653,modelcard
38,207.55812898278236,200.04005497321486,9439.525217982009,0,9944.853964960203,7414.570565801114,modelcard
39,206.46838494576514,198.4139948617667,9035.050242906436,0,9542.391273891553,7132.12213665247,modelcard
40,206.97735901921988,198.0802179314196,9161.09493211843,0,9668.152862926945,7137.093369849026,modelcard
41,207.74529012851417,198.60033504664898,9176.049677887931,0,9679.69292216003,7160.438120830804,modelcard
42,207.3336581233889,198.474177159369,9664.516250835732,0,10184.011483797804,7668.9730528742075,modelcard
43,207.66415796242654,199.21879493631423,9867.053752066568,0,10372.634870931506,7807.091291993856,modelcard
44,208.22942908853292,198.7298270687461,9458.552433177829,0,9968.448066851124,7434.658794198185,modelcard
45,206.94339601323009,198.2383851427585,9195.009205956012,0,9703.974205069244,7182.026759721339,modelcard
46,207.6831830199808,199.2520468775183,9000.657581957057,0,9505.802063969895,7065.315229818225,modelcard
47,206.66229794733226,199.03655303642154,8991.601133020595,0,9495.82286318764,6971.818197052926,modelcard
48,208.8919710367918,203.26343178749084,9592.547357082367,0,10102.521017892286,7205.8385028503835,modelcard
49,207.76682090945542,199.57848987542093,9485.46724487096,0,9991.812860127538,7190.76873967424,modelcard
50,207.37576601095498,199.44808399304748,9006.810575025156,0,9515.908973990008,7002.852926030755,modelcard
1,206.70210290700197,209.70471599139273,0,114.11342700012028,844.0956540871412,10.257084853947163,edge
2,206.29442809149623,198.5283198300749,0,113.98987518623471,829.8070579767227,11.40844402834773,edge
3,206.43339911475778,198.41930409893394,0,113.7153699528426,860.4284739121795,10.251684579998255,edge
4,206.18740795180202,199.6040770318359,0,116.31498695351183,836.0002161934972,12.97948183491826,edge
5,207.07245799712837,198.97442613728344,0,116.90353089943528,837.122802156955,13.699749018996954,edge
6,207.59295392781496,198.52394005283713,0,115.23211491294205,836.2376920413226,11.389035731554031,edge
7,206.41439408063889,198.94137396477163,0,114.81482302770019,839.8202930111438,11.08265994116664,edge
8,206.89003611914814,198.5703380778432,0,119.34345797635615,840.6881808768958,15.740612056106329,edge
9,206.6652642097324,199.7884928714484,0,113.00458596087992,832.9004920087755,9.936520829796791,edge
10,206.36219601146877,198.20684613659978,0,114.58917893469334,830.9165488462895,11.724148411303759,edge
11,207.73754501715302,198.37066298350692,0,113.67057589814067,834.6725760493428,11.273679789155722,edge
12,206.28092298284173,198.4854678157717,0,112.43160185404122,828.3940569963306,9.93604026734829,edge
13,205.8363480027765,197.9261189699173,0,114.85877493396401,834.0117658954114,12.237594928592443,edge
14,206.39731106348336,199.57151589915156,0,113.30013116821647,835.9121109824628,10.449558030813932,edge
15,205.63809713348746,198.52046412415802,0,111.90234893001616,829.0972660761327,9.442821145057678,edge
16,207.33900810591877,198.55855591595173,0,113.2384049706161,831.1980071011931,10.27985755354166,edge
17,206.15016692318022,197.7492468431592,0,112.50986787490547,826.6437640413642,9.554261807352304,edge
18,205.55093279108405,198.52892006747425,0,114.86739106476307,830.6140720378608,12.378901243209839,edge
19,205.77241899445653,199.46949486620724,0,116.33232980966568,834.0641940012574,13.224802911281586,edge
20,206.86842501163483,198.264213046059,0,117.4442651681602,835.7090998906642,14.605774078518152,edge
21,217.25412807427347,198.56066000647843,0,113.78967994824052,841.2550250068307,11.142713017761707,edge
22,206.52722497470677,198.47747404128313,0,111.28099309280515,862.80258721672,8.228776045143604,edge
23,206.0377469751984,197.89356784895062,0,114.8695049341768,832.1405549068004,12.41303514689207,edge
24,206.41175797209144,198.37009184993804,0,112.36158013343811,828.3040779642761,9.592863731086254,edge
25,206.5994709264487,198.66130803711712,0,112.25118418224156,830.3155719768256,9.403627831488848,edge
26,206.06809412129223,198.46182386390865,0,117.85379308275878,834.308662917465,15.36744786426425,edge
27,205.9898970182985,197.74130312725902,0,119.73530286923051,838.900436880067,16.77826466038823,edge
28,207.42238499224186,198.2167751993984,0,112.37194016575813,830.6433770339936,9.849105961620808,edge
29,206.59855799749494,197.7589048910886,0,113.043850986287,827.0032280124724,10.124125052243471,edge
30,206.36920793913305,198.32614017650485,0,112.87161707878113,830.7959528174251,9.984652977436781,edge
31,205.8454358484596,199.3736349977553,0,113.32531785592437,830.3455680143088,9.775347076356411,edge
32,206.23892382718623,198.45979078672826,0,112.34861589036882,829.8493779730052,9.602371603250504,edge
33,205.79219586215913,198.33896402269602,0,110.73785391636193,833.5607501212507,8.34264000877738,edge
34,206.66109607554972,199.3289510719478,0,112.43329499848187,830.5823928676546,9.658027905970812,edge
35,206.81511494331062,198.1034919153899,0,115.11406395584345,830.6326759047806,12.228147126734257,edge
36,206.5444679465145,198.2635329477489,0,111.23195104300976,827.1466670557857,8.178450167179108,edge
37,206.73493505455554,199.4490660727024,0,111.91136599518359,829.3134118430316,8.424873929470778,edge
38,207.18925702385604,198.49555706605315,0,113.2816958706826,832.4753739871085,8.68576718494296,edge
39,206.4152150414884,199.4376750662923,0,113.89636900275946,833.0523860640824,10.722191073000431,edge
40,206.5060348249972,210.03759116865695,0,118.91010496765375,849.6189350262284,14.190121088176966,edge
41,207.49611291103065,198.46135401166975,0,115.01157213933766,835.2215860504657,11.39940693974495,edge
42,207.9887071158737,198.53466097265482,0,113.49249188788235,832.610558019951,10.33726567402482,edge
43,206.06297394260764,198.0284908786416,0,118.34454396739602,834.5702141523361,14.414201024919748,edge
44,206.0874500311911,198.05552205070853,0,122.04669881612062,840.2734720148146,18.531897105276585,edge
45,206.1473629437387,199.4420129340142,0,113.02756890654564,830.8885968290269,10.27944590896368,edge
46,206.42316015437245,198.72691202908754,0,114.32871106080711,834.7021809313446,10.071064345538616,edge
47,207.93054811656475,198.42002587392926,0,112.82079201191664,831.4117379486561,10.19477704539895,edge
48,205.87793714366853,197.60347390547395,0,112.49634297564626,826.0809478815645,9.98738594353199,edge
49,205.2557689603418,198.2932579703629,0,111.98402219451964,828.8424289785326,9.229378774762154,edge
50,205.53500391542912,199.53608000651002,0,110.38576392456889,829.6738881617785,8.017055690288544,edge
