request_id,dns_lookup_ms,tcp_connect_ms,tls_handshake_ms,time_pretransfer_ms,time_to_first_byte_ms,total_time_ms,database_ms,operation_type
1,0.019,98.12,0,98.184,8518.73,9511.221000000001,7166.611494962126,modelcard
2,0.020999999999999998,97.809,0,97.848,8570.088,10424.215,7212.971968110651,modelcard
3,0.016,97.857,0,97.923,8341.622,9330.228,6999.48506616056,modelcard
4,0.026,97.887,0,97.958,8561.685000000001,9641.724999999999,7196.784175001085,modelcard
5,0.02,98.09,0,98.158,8578.408,9852.274,7091.196769848466,modelcard
6,0.014,97.71100000000001,0,97.76,9405.154,10394.145,7974.516422953457,modelcard
7,0.015000000000000001,98.116,0,98.179,8408.515,9489.612,7048.386835958809,modelcard
8,0.016,97.777,0,97.83600000000001,8864.964,10719.595,7460.392848588526,modelcard
9,0.019,98.162,0,98.22200000000001,8439.061,10296.815999999999,7089.451607782394,modelcard
10,0.014,98.072,0,98.12899999999999,8522.608,9516.562,7168.438982684165,modelcard
11,0.015000000000000001,97.955,0,98.023,8558.045999999998,9550.362,7018.594142049551,modelcard
12,0.016,97.77,0,97.818,8727.765,9998.867,7354.021986015141,modelcard
13,0.014,97.807,0,97.864,8445.933,9717.565999999999,7088.572359643877,modelcard
14,0.018000000000000002,98.088,0,98.148,8650.556999999999,9641.81,7271.129909902811,modelcard
15,0.014,98.04499999999999,0,98.09700000000001,8478.726999999999,9753.413,7069.06270282343,modelcard
16,0.016,98.236,0,98.288,9307.486,10391.000999999998,7777.35761879012,modelcard
17,0.018000000000000002,98.167,0,98.247,8847.932,10322.153999999999,7321.677950210869,modelcard
18,0.014,98.187,0,98.241,8707.132,9720.592,7317.943145055324,modelcard
19,0.019,98.083,0,98.118,8434.813,9426.515,6983.243448659778,modelcard
20,0.018000000000000002,98.103,0,98.14699999999999,8493.909,9577.068000000001,7111.272634938359,modelcard
21,0.016,98.231,0,98.276,8769.616,9847.139000000001,7096.912981942296,modelcard
22,0.02,98.241,0,98.297,8692.267,9683.906,7310.312159359455,modelcard
23,0.019,97.91900000000001,0,97.995,8439.662,9428.822,6974.704073276371,modelcard
24,0.020999999999999998,98.055,0,98.105,8488.144999999999,9480.641,7102.296116761863,modelcard
25,0.016,97.839,0,97.89699999999999,8437.455999999998,9710.084,6974.408332724124,modelcard
26,0.019,97.798,0,97.828,8504.677,9493.497,7131.301425863057,modelcard
27,0.02,97.774,0,97.83200000000001,8473.688,9745.002,7017.831495031714,modelcard
28,0.016,97.983,0,98.03399999999999,8575.871,10049.241,7198.785807937384,modelcard
29,0.023,97.939,0,97.99199999999999,8474.717999999999,9747.462000000001,6996.686273720115,modelcard
30,0.018000000000000002,98.02900000000001,0,98.077,8350.968,9341.891,6993.599826004356,modelcard
31,0.016,98.104,0,98.148,8566.128,9555.868,7196.992650162429,modelcard
32,0.019,97.72500000000001,0,97.808,8871.64,9862.064,7239.256830886006,modelcard
33,0.022,98.04400000000001,0,98.091,8817.402,9806.18,7395.08290681988,modelcard
34,0.014,98.055,0,98.108,8636.46,9628.102,7276.1588538996875,modelcard
35,0.014,97.76400000000001,0,97.814,8413.276,9402.168,7038.7679990381,modelcard
36,0.016,97.83,0,97.88199999999999,8647.446,9727.961000000001,7241.171531379223,modelcard
37,0.022,98.235,0,98.304,8399.103000000001,9390.503,7038.71174575761,modelcard
38,0.016,97.755,0,97.802,8552.821,9824.59,7178.879366721958,modelcard
39,0.02,97.956,0,98.005,8332.214,9799.851999999999,6976.683428045362,modelcard
40,0.015000000000000001,98.239,0,98.356,8690.212000000001,9964.218,7317.718693986535,modelcard
41,0.032,97.84,0,97.903,8356.922,9437.005,7001.922488212585,modelcard
42,0.016,98.11200000000001,0,98.167,8625.277,9706.132,7260.478320997208,modelcard
43,0.016,98.285,0,98.344,8416.52,9409.554,7063.171045854688,modelcard
44,0.020999999999999998,97.807,0,97.865,8619.127,9888.855,7249.478672165424,modelcard
45,0.017,98.148,0,98.205,8440.419,9431.541,7080.44706704095,modelcard
46,0.020999999999999998,97.83600000000001,0,97.911,8746.610999999999,9735.445,7353.406936861575,modelcard
47,0.016,98.224,0,98.319,8432.72,9516.775000000001,7072.624751832336,modelcard
48,0.043000000000000003,97.81099999999999,0,97.951,8800.748,9787.946,7425.347579177469,modelcard
49,0.015000000000000001,98.33699999999999,0,98.398,8458.232,9539.695,7049.186435062438,modelcard
50,0.015000000000000001,97.804,0,97.87,8779.469000000001,9769.220000000001,7242.994158063084,modelcard
1,0.012,97.97,0,98.083,209.07700000000003,212.4,12.628897093236446,edge
2,0.013,97.65,0,97.76400000000001,209.078,209.283,13.198879081755877,edge
3,0.019,97.64399999999999,0,97.763,207.964,208.15200000000002,12.110202107578516,edge
4,0.011,97.601,0,97.705,211.56900000000002,211.66,15.880433842539787,edge
5,0.011,97.64399999999999,0,97.72500000000001,208.885,209.05,12.297414243221283,edge
6,0.011,97.805,0,97.94999999999999,215.142,215.295,18.980534747242928,edge
7,0.014,97.97200000000001,0,98.08699999999999,205.137,205.233,8.877730928361416,edge
8,0.011,97.898,0,98.003,205.857,206.04,9.546668268740177,edge
9,0.016,97.71100000000001,0,97.84700000000001,206.482,206.66,10.722790844738483,edge
10,0.015000000000000001,97.533,0,97.646,208.33599999999998,208.509,12.484494596719742,edge
11,0.012,97.99900000000001,0,98.104,207.646,207.749,11.47048780694604,edge
12,0.015000000000000001,97.758,0,97.87400000000001,209.72199999999998,209.87900000000002,13.872497249394655,edge
13,0.012,98.069,0,98.201,206.249,206.435,9.910513181239367,edge
14,0.015000000000000001,101.48,0,101.607,212.21699999999998,212.342,12.370792217552662,edge
15,0.012,97.619,0,97.732,209.308,209.459,13.166917953640223,edge
16,0.011,97.96000000000001,0,98.07499999999999,205.80100000000002,205.94899999999998,9.5794009976089,edge
17,0.011,97.595,0,97.696,207.63899999999998,207.797,12.100190855562687,edge
18,0.012,97.666,0,97.782,207.809,207.958,12.254794128239155,edge
19,0.016,97.67099999999999,0,97.783,206.93200000000002,207.09199999999998,11.27283601090312,edge
20,0.016,97.71199999999999,0,97.831,208.10899999999998,208.27,12.33935309574008,edge
21,0.014,97.96000000000001,0,98.073,206.196,206.344,9.836063254624605,edge
22,0.011,97.65,0,97.761,206.666,206.815,10.825744830071926,edge
23,0.015000000000000001,97.702,0,97.808,208.475,208.656,12.394885998219252,edge
24,0.022,97.756,0,97.88199999999999,221.161,221.32299999999998,24.85742000862956,edge
25,0.014,97.968,0,98.08600000000001,206.264,206.412,9.784365072846413,edge
26,0.011,97.733,0,97.85000000000001,205.6,205.748,9.820453356951475,edge
27,0.011,97.943,0,98.056,207.531,207.678,11.275220196694136,edge
28,0.011,97.65,0,97.797,209.9,210.053,14.083273243159056,edge
29,0.014,97.933,0,98.053,210.40200000000002,210.55499999999998,13.961383141577244,edge
30,0.013,97.723,0,97.834,209.15200000000002,209.299,12.814376037567854,edge
31,0.012,97.90400000000001,0,98.026,210.40900000000002,210.597,13.83939292281866,edge
32,0.015000000000000001,97.928,0,98.047,206.403,206.56199999999998,9.92220500484109,edge
33,0.011,97.615,0,97.723,207.111,207.26,11.115658562630415,edge
34,0.015000000000000001,97.643,0,97.72699999999999,205.928,206.097,10.009639896452427,edge
35,0.012,97.911,0,98.02199999999999,206.065,206.21,9.902928955852985,edge
36,0.011,97.69,0,97.803,208.834,208.981,12.791191693395376,edge
37,0.011,97.849,0,97.922,215.56900000000002,215.701,18.67617294192314,edge
38,0.014,97.69200000000001,0,97.802,207.60600000000002,207.76,11.599811259657145,edge
39,0.011,97.62700000000001,0,97.736,209.371,209.519,13.314075767993927,edge
40,0.014,97.601,0,97.726,206.33499999999998,206.507,10.40662731975317,edge
41,0.015000000000000001,97.655,0,97.773,206.153,206.31199999999998,10.407127905637026,edge
42,0.011,97.69500000000001,0,97.808,208.656,208.828,12.520141899585724,edge
43,0.015000000000000001,98.07000000000001,0,98.22500000000001,206.831,206.981,10.086594615131617,edge
44,0.011,97.826,0,97.973,206.06,206.207,9.732928592711687,edge
45,0.011,97.611,0,97.74199999999999,204.912,205.037,9.317668154835701,edge
46,0.017,97.724,0,97.85199999999999,205.55200000000002,205.67,9.579740930348635,edge
47,0.015000000000000001,97.93599999999999,0,98.056,207.035,207.195,10.659821797162294,edge
48,0.011,97.841,0,97.953,209.732,209.88299999999998,13.26328981667757,edge
49,0.015000000000000001,97.818,0,97.916,206.666,206.831,10.194868315011263,edge
50,0.011,97.868,0,97.96000000000001,205.073,205.179,8.776972070336342,edge
